Artigo,Título do Artigo (conforme Lista de origem),a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,Conclusão
17,"Durango I., R. Penichet V.M., Gallud J.A. Exploring human-data interaction: an AI-enhanced systematic mapping (2024) Universal Access in the",X,X,X,X,,X,X,X,,,,,,,,,,Incluído
18,"Calvetti D., Kifokeris D., Mêda P., Sousa H. HUMAN-DATA INTERACTION AS A CRITICAL ENABLER OF ELECTRONIC PERFORMANCE MONITORING AT CONSTRUCTI",X,X,X,X,,X,X,X,,,,X,,,,,,Excluído
19,"Coleti T.A., Morandini M., Filgueiras L.V.L. Human-Data Interaction Syllabus for Undergraduate and Graduate Courses (2024) Journal on Intera",X,X,X,X,,X,X,X,,,,,,,,,,Incluído
20,"Xambó A., Roma G. Human–machine agencies in live coding for music performance (2024).",X,X,,X,,X,X,X,,X,,X,,,,,,Excluído
21,"Theys T., Bourgeus A., Mechant P., De Marez L., Saldien J. Expert Perspectives on UX Design Challenges for Solid-Enabled Personal Data Store",X,X,X,,,X,X,X,,,,,,,,,,Incluído
22,"Theys T., Haegemans T., Mechant P., Bourgeus A., Saldien J. Solid-Enabled Personal Online Data Stores: Uncovering UX Implications for Online",X,X,X,X,,X,X,X,,,,,,,,,,Incluído
23,"Baldazzi T., Benedetto D., Bellomarini L., Sallinger E., Vlad A. Softening Ontological Reasoning with Large Language Models (2024) 8th Inter",,X,X,X,,X,X,X,,X,,X,,,,,,Excluído
24,Sullutrone G. Large Language Models integration in Digital Humanities (2024) CEUR Workshop Proceedings.,X,X,,,,X,X,X,,,,X,,,,,,Excluído
25,"Burzio G., Ferraro V. CLARIFYING DEFINITIONS: A SCOPING REVIEW OF DATA PHYSICALIZATION IN HUMAN-COMPUTER INTERACTION (2024) Proceedings of t",X,X,,X,X,X,X,X,,,,,,,,,,Incluído
26,"Capeleti B.S., dos Santos França J.B., Freire A.P. Heuristic Evaluation of a Publicly Accessible Geoprocessing Platform: Categories of Usabi",X,X,X,X,,X,X,X,,,,,,,,,,Incluído
27,"Lenzi S., Ciuccarelli P., Offenhuber D. Towards a definition of Autographic Sonifications: Listening as an act of knowledge (2024) Proceedin",X,X,X,X,,X,X,X,,,,,,,,,,Incluído
28,"Lenzi S., Özcan E., Mora S., Mazzarello M., Haatveit A., Duarte F. What in the world do we hear? Understanding public and private spaces thr",X,X,X,X,,X,X,X,,,,,,,,,,Incluído
29,"Xiao F., Chi Y., He D. Promoting data use through understanding user behaviors: A model for human open government data interaction (2023) Jo",X,X,X,X,,X,X,X,,,,,,,X,,,Excluído
30,"Ambe A.H., Roomkham S., Lovell D., Brereton M. Rethinking the Design of Human-Data Interaction through a Study of Older Adults' Wellbeing (2",X,X,X,X,,X,X,X,,,,,,,,X,,Excluído
31,Martinez-Maldonado R. Data Storytelling: Revolutionising Human-Data Interaction or Just Passing Hype?(2023) ACM International Conference Pro,X,X,,,,,X,X,X,X,,,,X,,,,Excluído
32,"De Bettio R.W., Melchiori A.P., Freire A.P., Albuquerque A.C., Aguiar E.H.D.A. Question-based interaction with geolocated data for environme",X,X,X,X,,X,X,X,,,,,,,,,,Incluído
33,"Gagel J., Hustedt J., Lüttig T., Berg T., Abrami G., Mehler A. News in Time and Space: Global Event Exploration in Virtual Reality (2023) HT",,,,,,X,X,X,X,X,X,,X,,,,,Excluído
34,"Jordan B., Koesten L., Möller T. Chatting about Data - Interacting with Voice Interfaces to Engage with Election Panel Data (2023) Proceedin",X,X,X,X,,X,X,X,,,,,,,,,,Incluído
35,"Ranasinghe C., Degbelo A. Encoding Variables, Evaluation Criteria, and Evaluation Methods for Data Physicalisations: A Review (2023) Multimo",X,X,X,X,X,X,X,X,,,,,,,,,,Incluído
36,"Moritz D., Omidvar-Tehrani B., Roy S. Seventh Workshop on Human-In-the-Loop Data Analytics (HILDA) (2023) Proceedings of the ACM SIGMOD Inte",X,X,,,,,X,X,X,X,,,,X,,,,Excluído
37,"Kurze A., Köpferl K., Eibl M. Data-I - Interactive Experience of IoT Data: A Practical Tool for IoT Sensor Data in Interdisciplinary Human-C",X,X,,X,,X,X,X,,,,,,,,,,Incluído
38,"Raj S., Gupta T., Lee J., Kay M., Newman M.W. ``It can bring you in the right direction'': Episode-Driven Data Narratives to Help Patients N",X,X,,,,,X,X,,,,X,,,,X,,Excluído
39,"Lee-Smith M.L., Benjamin J.J., Desjardins A., Funk M., Odom W., Oogjes D., Park Y.-W., Pierce J., Sanches P., Tsaknaki V. Data as a Material",X,X,,,X,,X,X,,,,,,,,,,Incluído
40,Guerrero Millan C. Living Data Systems: Co-Designing Community-Based Methods And Local Technologies For Inclusive Socioeconomic Alternatives,X,X,,,,,X,X,X,X,,,,X,,,,Excluído
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
INCLUSÃO,,23,,,,,,,,,,,,,,,,,
EXCLUSÃO,,17,,,,,,,,,,,,,,,,,
DUPLICATA,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
CRITÉRIO J,,6,,,,,,,,,,,,,,,,,
CRITÉRIO K,,1,,,,,,,,,,,,,,,,,
CRITÉRIO L,,8,,,,,,,,,,,,,,,,,
CRITÉRIO M,,1,,,,,,,,,,,,,,,,,
CRITÉRIO N,,5,,,,,,,,,,,,,,,,,
CRITÉRIO O,,3,,,,,,,,,,,,,,,,,
CRITÉRIO P,,4,,,,,,,,,,,,,,,,,
CRITÉRIO Q,,,,,,,,,,,,,,,,,,,
