Artigo,Título do Artigo (conforme Lista de origem),a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,Conclusão
60,Nelson J.K. Cartography \& geovisual analytics in personal contexts: designing for the data creator (2023) International Journal of Cartogra,X,X,X,,,X,X,X,,,,,,,,,,Incluído
61,"Paredes Y.V., Hsiao I.-H. Combining Data and Human Intelligence through Predictive Visual Analytics to Improve Educational Assessments (2022",X,X,X,X,X,,X,X,,,,,,X,X,,,Excluído
62,"Stead M., Coulton P., Pilling F., Gradinar A., Pilling M., Forrester I. More-than-Human-Data Interaction (2022) ACM International Conference",X,X,X,,,X,X,X,,,,,,,,,,Incluído
63,"Brombacher H., Houben S., Vos S. SensorBadge: An Exploratory Study of an Ego-centric Wearable Sensor System for Healthy Office Environments",X,X,X,,,,X,X,,,,,,,,,,Incluído
64,"Abouzied A., Moritz D., Cafarella M.J. HILDA'22: The SIGMOD 2022 Workshop on Human-in-the-Loop Data Analytics. (2022) Proceedings of the ACM",X,,,,,,X,X,X,X,,X,,,,,,Excluído
65,"Bowyer A., Holt J., Go Jefferies J., Wilson R., Kirk D., David Smeddinck J. Human-GDPR Interaction: Practical Experiences of Accessing Perso",X,X,,X,,,X,X,,,,,,,,,,Incluído
66,"Tendedez H., Ferrario M.A., McNaney R., Gradinar A.I. Exploring Human-Data Interaction in Clinical Decision-making Using Scenarios: Co-desig",X,X,,X,X,,X,X,,,,,,X,X,X,,Excluído
67,"Hayes S., Connor S., Johnson M., Jopling M. Connecting Cross-sector Community Voices: Data, Disadvantage, and Postdigital Inclusion (2021) P",X,X,,,,,X,X,,,,,,,,,,Incluído
68,"Rostamzadeh N., Abdullah S.S., Sedig K., Garg A.X., McArthur E. Visual Analytics for Predicting Disease Outcomes Using Laboratory Test Resul",X,,X,,,,X,X,,X,,X,,,,X,,Excluído
69,Ma Y. Improved Interaction of BIM Models for Historic Buildings with a Game Engine Platform (2022) Applied Sciences (Switzerland).,X,X,,,,,X,X,,X,,,,,,,,Excluído
70,"Konomi S. Big data for humans or humans for big data?: a human-data interaction perspective. (2022) CEUR Workshop Proceedings, 3136, pp. 14",X,X,,,,X,X,X,,,,,,,,,,Incluído
71,"Barricelli B.R., Fischer G., Fogli D., Mørch A., Piccinno A., Valtolina S. CoPDA 2022 - Proceedings of the 6th International Workshop on Cul",X,X,,,,X,X,X,X,X,,X,,,,,,Excluído
72,"Pilling M., Coulton P., Lodge T., Crabtree A., Chamberlain A. Experiencing mundane AI futures (2022) Proceedings of DRS.",X,X,,,,X,X,X,,,,,,,,,,Incluído
73,"Corazza L., Antonini A., Dumay J., Cisi M. Sustainability Reporting and Interactive Storytelling: A Genre Approach for Humanising Business (",X,X,,,,X,X,X,,,,,,,,,,Incluído
74,"Elhamdadi H., Gaba A., Kim Y.-S., Xiong C. How Do We Measure Trust in Visual Data Communication?. (2022) Proceedings - 2022 IEEE 9th Worksho",X,X,X,,,,X,X,,,,,,,,,,Incluído
75,"Kotnik A., Pullan G. A Spatial Arrangement Visualisation Strategy for Learning from Large Ensembles of Unsteady Flow-field Data. (2022) AIAA",,,,,,,X,X,,,,,,X,X,,,Excluído
76,"Bartram L., Correll M., Tory M. Untidy Data: The Unreasonable Effectiveness of Tables. (2022) IEEE Transactions on Visualization and Compute",X,X,,,,X,X,X,,,,,,,,,,Incluído
77,"Phillips D., Smit M. Toward Best Practices for Unstructured Descriptions of Research Data (2021) Proceedings of the Association for Informat",X,,,,,,X,X,,,,,,X,X,,,Excluído
78,"Xia G., Yu L., Gong Z., Zhang Y., Zhang S., Zhu Z., Li H., Tang Y., Huang Y., Tian Z. Designing with biodiversity data: connections among de",X,X,X,,,X,X,X,,,,,,,,,,Incluído
79,"Rainey J., Verweij D., Dodds C., Graeber J., Farhadi F., Ali R., Zhang V., Bull C.N., Smeddinck J.D. Data Contribution Summaries for Patient",X,,,,,X,X,X,,,,,,,,X,,Excluído
80,"Rostamzadeh N., Abdullah S.S., Sedig K., Garg A.X., McArthur E. Veronica: Visual analytics for identifying feature groups in disease classif",X,,,,,,X,X,,,,,,X,X,,,Excluído
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
INCLUSÃO,,,21,,,,,,,,,,,,,,,,
EXCLUSÃO,,,19,,,,,,,,,,,,,,,,
DIPLICATA,,,,,,,,,,,,,,,,,,,
CRITÉRIO J,,,9,,,,,,,,,,,,,,,,
CRITÉRIO L,,,7,,,,,,,,,,,,,,,,
CRITÉRIO N,,,7,,,,,,,,,,,,,,,,
CRITÉRIO O,,,6,,,,,,,,,,,,,,,,
CRITÉRIO P,,,6,,,,,,,,,,,,,,,,
CRITÉRIO Q,,,1,,,,,,,,,,,,,,,,
