Artigo,Título do Artigo (conforme Lista de origem),a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,Conclusão
139,"Victorelli E.Z., Reis J.C., Santos A.A.S., Schiozer D.J. Participatory Evaluation of Human-Data Interaction Design Guidelines. (2019) Lectur",,,,X,,,X,X,,,,,,,,,,Excluído
140,"Victorelli E.Z., Deos Reis J.C., Souza Santos A.A., Schiozer D.J. Design process for human-data interaction: Combining guidelines with semio",X,X,,,,,X,X,,,,X,,,,,,Excluído
141,"Cabitza F., Locoro A. Human-data interaction in healthcare: Acknowledging use-related chasms to design for a better health information. (201",,,,,,,X,X,,,,,,,,X,,Excluído
142,Razmi F. The emerging human-data interaction in UX research field. (2019) Proceedings of the 21st International Conference on Engineering an,X,X,,,,,X,X,,X,,X,,,,X,,Excluído
143,"Coleti T.A., Morandini M., Vilela Leite Filgueiras L., Pizzigatti Correa P.L., de Oliveira I.G., de Barbosa C.R.S.C. Design Patterns to Supp",X,X,X,X,,,X,X,,,,,,,,,,Incluído
144,"Zikos D., DeLellis N. CDSS-RM: A clinical decision support system reference model (2018) BMC Medical Research Methodology.",X,X,,X,X,,X,X,,,,,,,,X,,Excluído
145,"Gan S., Li K., Wang Y., Cameron C. IoT Based Energy Consumption Monitoring Platform for Industrial Processes. (2018) 2018 UKACC 12th Interna",,,,,,,X,X,,,,X,,,,X,,Excluído
146,"Barreto P., Salgado L., Viterbo J. Assessing the communicability of human-data interaction mechanisms in transparency enhancing tools (2018)",X,X,X,X,,,X,X,,,,,,,,,,Incluído
147,"Amer-Yahia S. Human factors in data science. (2018) Proceedings - IEEE 34th International Conference on Data Engineering, ICDE 2018, art. no",,,,,,,X,X,,X,,X,,,,,,Excluído
148,"Strey M.R., Pereira R., de Castro Salgado L.C. Human data-interaction: A systematic mapping. (2018) ACM International Conference Proceeding",,,,,,,X,X,,X,,X,,,,,,Excluído
149,Locoro A. A data file: Value and communication of information at the time of human-data interaction design [A fil di dato: Valore e comunica,,,,,,,X,X,,,,,,X,X,,,Excluído
150,"Groth P., Koesten L., Mayr P., De Rijke M., Simperl E.DATA: SEARCH'18 - Searching data on the web.(2018) 41st International ACM SIGIR Confer",,,,,,,X,X,,X,,,,X,,,,Excluído
151,"ekete J.-D., Rong K., Omidvar-Tehrani B., Shraga R. Eighth Workshop on Human-In-the-Loop Data Analytics (HILDA) (2024) Proceedings of the AC",X,X,,,,,X,X,,,,,,,,,X,Excluído
152,"Barreto P., Salgado L., Viterbo J. Transparency communication strategies in human-data interaction [Estratégias de comunicação da transparên",X,X,,,,,X,X,,,,,,,,,X,Excluído
153,"Wolff A., Seffah A., Kortuem G., Van Der Linden J. Designing for effective interactions with data in the internet of things. (2018) DIS 2018",X,,,,,,X,X,,,,,,X,,,,Excluído
154,Koesten L. A User Centred Perspective on Structured Data Discovery. (2018) The Web Conference 2018 - Companion of the World Wide Web Confere,,,,,,,X,X,,X,,X,,X,,,,Excluído
155,"Cafaro F., Lyons L., Antle A.N. Framed guessability: Improving the discoverability of gestures and body movements for full-body interaction.",,,,,,,X,X,,X,,X,,,,,,Excluído
156,"Concannon S.J., Balaam M., Comber R., Simpson E. Applying computational analysis to textual data from the wild: A feminist perspective. (201",,,,,,,X,X,,X,,,,,,,,Excluído
157,"Cafaro F., Mishra S. Full body interaction beyond fun: Engaging museum visitors in human-data interaction. (2018) TEI 2018 - Proceedings of",,,,,,,X,X,,X,,X,,,,,,Excluído
158,"Ola O., Sedig K. Discourse with visual health data: Design of human-data interaction (2018) Multimodal Technologies and Interaction, 2 (1),",X,X,,X,,,X,X,,,,,,,,X,,Excluído
159,"Seffah A. Citizen observatories: Challenges informing an HCI design research agenda. (2018) Interactions, 25 (2), pp. 52 - 57.",,,,,,,X,X,,,,,,X,X,,,Excluído
160,"Seidelin C., Dittrich Y., Grönvall E. Data work in a knowledge-broker organisation: How cross-organisational data maintenance shapes human d",X,X,,,X,,X,X,,,,,,,,,,Incluído
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
INCLUSÃO,,,,,6,,,,,,,,,,,,,,
EXCLUSÃO,,,,,43,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
CRITÉRIO J,,,,,16,,,,,,,,,,,,,,
CRITÉRIO L,,,,,19,,,,,,,,,,,,,,
CRITÉRIO N,,,,,13,,,,,,,,,,,,,,
CRITÉRIO O,,,,,8,,,,,,,,,,,,,,
CRITÉRIO P,,,,,9,,,,,,,,,,,,,,
CRITÉRIO Q,,,,,4,,,,,,,,,,,,,,
